NAME,ST_ABBREV,X,Y,Work_County_Name,Workers_in,FIPS,Shape_Length,Shape_Area,to_x,to_y,fromXY,toXY,labels,color,data
Cook County,IL,41.840123998445677,-87.816869878477831,Dane County,407,17031,3.371137310016504,0.268771307040313,43.067290230735232,-89.418122509641307,"[-87.816869878477831, 41.840123998445677]","[-89.418122509641307, 43.067290230735232]","['Cook County', 'Dane County']",#f768a1,"{""from"":[-87.816869878477831, 41.840123998445677],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Cook County', 'Dane County'],""color"":""#f768a1"",""value"":407}"
Lake County,IL,42.323240437129797,-88.003565299282087,Dane County,103,17097,1.691824950322565,0.133039812678377,43.067290230735232,-89.418122509641307,"[-88.003565299282087, 42.323240437129797]","[-89.418122509641307, 43.067290230735232]","['Lake County', 'Dane County']",#fbb4b9,"{""from"":[-88.003565299282087, 42.323240437129797],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Lake County', 'Dane County'],""color"":""#fbb4b9"",""value"":103}"
Winnebago County,IL,42.336262242894584,-89.160869877209791,Dane County,492,17201,1.613608243367180,0.146889618740813,43.067290230735232,-89.418122509641307,"[-89.160869877209791, 42.336262242894584]","[-89.418122509641307, 43.067290230735232]","['Winnebago County', 'Dane County']",#c51b8a,"{""from"":[-89.160869877209791, 42.336262242894584],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Winnebago County', 'Dane County'],""color"":""#c51b8a"",""value"":492}"
Adams County,WI,43.969540085340263,-89.770399011110840,Dane County,260,55001,2.126339587552341,0.199697080073204,43.067290230735232,-89.418122509641307,"[-89.77039901111084, 43.969540085340263]","[-89.418122509641307, 43.067290230735232]","['Adams County', 'Dane County']",#f768a1,"{""from"":[-89.77039901111084, 43.969540085340263],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Adams County', 'Dane County'],""color"":""#f768a1"",""value"":260}"
Columbia County,WI,43.466608075154582,-89.333736403193939,Dane County,10219,55021,2.496599966184796,0.229308190924491,43.067290230735232,-89.418122509641307,"[-89.333736403193939, 43.466608075154582]","[-89.418122509641307, 43.067290230735232]","['Columbia County', 'Dane County']",#7a0177,"{""from"":[-89.333736403193939, 43.466608075154582],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Columbia County', 'Dane County'],""color"":""#7a0177"",""value"":10219}"
Dodge County,WI,43.416295018484874,-88.707506832794522,Dane County,2340,55027,2.090019324091913,0.261104641025476,43.067290230735232,-89.418122509641307,"[-88.707506832794522, 43.416295018484874]","[-89.418122509641307, 43.067290230735232]","['Dodge County', 'Dane County']",#7a0177,"{""from"":[-88.707506832794522, 43.416295018484874],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Dodge County', 'Dane County'],""color"":""#7a0177"",""value"":2340}"
Fond du Lac County,WI,43.753589459404019,-88.488263249767257,Dane County,269,55039,2.239206673937177,0.221664574101116,43.067290230735232,-89.418122509641307,"[-88.488263249767257, 43.753589459404019]","[-89.418122509641307, 43.067290230735232]","['Fond du Lac County', 'Dane County']",#f768a1,"{""from"":[-88.488263249767257, 43.753589459404019],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Fond du Lac County', 'Dane County'],""color"":""#f768a1"",""value"":269}"
Grant County,WI,42.867481933318196,-90.706220596547936,Dane County,408,55043,2.579286578717971,0.337628300251819,43.067290230735232,-89.418122509641307,"[-90.706220596547936, 42.867481933318196]","[-89.418122509641307, 43.067290230735232]","['Grant County', 'Dane County']",#f768a1,"{""from"":[-90.706220596547936, 42.867481933318196],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Grant County', 'Dane County'],""color"":""#f768a1"",""value"":408}"
Green County,WI,42.680008933877708,-89.602221789679732,Dane County,5452,55045,1.649834079923973,0.166281045552535,43.067290230735232,-89.418122509641307,"[-89.602221789679732, 42.680008933877708]","[-89.418122509641307, 43.067290230735232]","['Green County', 'Dane County']",#7a0177,"{""from"":[-89.602221789679732, 42.680008933877708],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Green County', 'Dane County'],""color"":""#7a0177"",""value"":5452}"
Green Lake County,WI,43.800378961637115,-89.044859722449388,Dane County,111,55047,1.497145412851757,0.110107908499921,43.067290230735232,-89.418122509641307,"[-89.044859722449388, 43.800378961637115]","[-89.418122509641307, 43.067290230735232]","['Green Lake County', 'Dane County']",#fbb4b9,"{""from"":[-89.044859722449388, 43.800378961637115],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Green Lake County', 'Dane County'],""color"":""#fbb4b9"",""value"":111}"
